name,rgb,quantity
Aqua,B3D7D1,331
Black,05131D,723320
Blue,0055BF,193045
Bright Green,4B9F4A,17989
Bright Light Blue,9FC3E9,5052
Bright Light Orange,F8BB3D,21437
Bright Light Yellow,FFF03A,7630
Bright Pink,E4ADC8,12760
Brown,583927,9942
Chrome Antique Brass,645A4C,42
Chrome Black,1B2A34,4
Chrome Blue,6C96BF,17
Chrome Gold,BBA53D,1695
Chrome Green,3CB371,2
Chrome Pink,AA4D8E,43
Chrome Silver,E0E0E0,1422
Clikits Pink,FE78B0,33
Clikits Yellow,FFCF0B,22
Copper,AE7A59,94
Coral,FF698F,4939
Curry,DD982E,13
Dark Azure,078BC9,11485
Dark Blue,0A3463,39380
Dark Blue-Violet,2032B0,10
Dark Bluish Gray,6C6E68,313526
Dark Brown,352100,16248
Dark Gray,6D6E5C,24297
Dark Green,184632,17380
Dark Nougat,AD6140,11
Dark Orange,A95500,15237
Dark Pink,C870A0,11068
Dark Purple,3F3691,13725
Dark Red,720E0F,40220
Dark Tan,958A73,46038
Dark Turquoise,008F9B,15591
Duplo Blue,009ECE,6
Duplo Dark Purple,5F27AA,1
Duplo Light Green,60BA76,1
Duplo Lime,FFF230,5
Duplo Medium Blue,3E95B6,1
Duplo Medium Green,468A5F,1
Duplo Pink,FF879C,47
Duplo Turquoise,3FB69E,2
Earth Orange,FA9C1C,168
Fabuland Brown,B67B50,60
Fabuland Lime,78FC78,16
Fabuland Orange,EF9121,1
Fabuland Red,FF8014,21
Flat Dark Gold,B48455,153
Flat Silver,898788,21040
Glitter Trans-Clear,FFFFFF,246
Glitter Trans-Dark Pink,DF6695,257
Glitter Trans-Green,84B68D,1
Glitter Trans-Light Blue,68BCC5,90
Glitter Trans-Medium Purple,8D73B3,6
Glitter Trans-Neon Green,C0F500,12
Glitter Trans-Orange,F08F1C,1
Glitter Trans-Pink,E4ADC8,2
Glitter Trans-Purple,A5A5CB,171
Glow In Dark Opaque,D4D5C9,205
Glow In Dark Trans,BDC6AD,144
Glow in Dark White,D9D9D9,663
Green,237841,73440
Lavender,E1D5ED,5777
Light Aqua,ADC3C0,7165
Light Blue,B4D2E3,52
Light Bluish Gray,A0A5A9,439497
Light Brown,7C503A,158
Light Gray,9BA19D,103337
Light Green,C2DAB8,167
Light Lilac,9195CA,4
Light Lime,D9E4A7,36
Light Nougat,F6D7B3,6057
Light Orange,F9BA61,66
Light Pink,FECCCF,12
Light Purple,CD6298,103
Light Salmon,FEBABD,176
Light Tan,F3C988,1
Light Turquoise,55A5AF,146
Light Violet,C9CAE2,204
Light Yellow,FBE696,353
Lime,BBE90B,36235
Maersk Blue,3592C3,469
Magenta,923978,10568
Medium Azure,36AEBF,19347
Medium Blue,5A93DB,13872
Medium Bluish Violet,6874CA,59
Medium Brown,755945,62
Medium Dark Pink,F785B1,1098
Medium Green,73DCA1,417
Medium Lavender,AC78BA,6367
Medium Lime,C7D23C,197
Medium Nougat,AA7D55,23764
Medium Orange,FFA70B,461
Medium Violet,9391E4,10
Metallic Copper,764D3B,57
Metallic Gold,DBAC34,2113
Metallic Green,899B5F,22
Metallic Silver,A5A9B4,4021
Milky White,FFFFFF,250
Modulex Aqua Green,27867E,16
Modulex Black,4D4C52,2490
Modulex Brown,907450,2223
Modulex Buff,DEC69C,1625
Modulex Charcoal Gray,595D60,2
Modulex Clear,FFFFFF,1394
Modulex Lemon,BDC618,22
Modulex Light Bluish Gray,AfB5C7,10
Modulex Light Gray,9C9C9C,2246
Modulex Light Orange,F7AD63,7
Modulex Light Yellow,FFE371,8
Modulex Medium Blue,61AFFF,8
Modulex Ochre Yellow,FED557,1107
Modulex Olive Green,7C9051,1111
Modulex Orange,F47B30,25
Modulex Pastel Blue,68AECE,18
Modulex Pastel Green,7DB538,34
Modulex Pink,F785B1,17
Modulex Pink Red,F45C40,7
Modulex Red,B52C20,25
Modulex Teal Blue,467083,1104
Modulex Terracotta,5C5030,1621
Modulex Tile Blue,0057A6,80
Modulex Tile Brown,330000,161
Modulex Tile Gray,6B5A5A,222
Modulex Violet,BD7D85,7
Modulex White,F4F4F4,2988
Nougat,D09168,1868
Olive Green,9B9A5A,6904
Orange,FE8A18,43213
Pastel Blue,5AC4DA,898
Pearl Black,0A1327,31
Pearl Blue,0059A3,21
Pearl Brown,57392C,35
Pearl Copper,B46A00,69
Pearl Dark Gray,575857,527
Pearl Gold,AA7F2E,39538
Pearl Green,008E3C,20
Pearl Light Gold,DCBC81,7
Pearl Light Gray,9CA3A8,5892
Pearl Lime,6A7944,42
Pearl Red,D60026,24
Pearl Sand Blue,7988A1,154
Pearl Titanium,3E3C39,5964
Pearl Very Light Gray,ABADAC,30
Pearl White,F2F3F2,45
Pink,FC97AC,728
Purple,81007B,961
Red,C91A09,283675
Reddish Brown,582A12,127323
Reddish Gold,AC8247,64
Reddish Lilac,8E5597,49
Reddish Orange,EE5434,16
Royal Blue,4C61DB,289
Rust,B31004,34
Rust Orange,872B17,1
Salmon,F2705E,186
Sand Blue,6074A1,7380
Sand Green,A0BCAC,19217
Sand Purple,845E84,100
Sand Red,D67572,578
Sky Blue,7DBFDD,128
Speckle Black-Copper,05131D,9
Speckle Black-Gold,05131D,7
Speckle Black-Silver,05131D,200
Speckle DBGray-Silver,6C6E68,10
Tan,E4CD9E,145710
Trans-Black,635F52,3
Trans-Blue Opal,68BCC5,551
Trans-Bright Green,D9E4A7,2681
Trans-Brown,635F52,9554
Trans-Brown Opal,583927,172
Trans-Clear,FCFCFC,41902
Trans-Clear Opal,FCFCFC,505
Trans-Dark Blue,0020A0,10986
Trans-Dark Blue Opal,0020A0,97
Trans-Dark Pink,DF6695,5028
Trans-Dark Pink Opal,CE1D9B,93
Trans-Fire Yellow,FBE890,42
Trans-Flame Yellowish Orange,FCB76D,214
Trans-Green,84B68D,5894
Trans-Green Opal,84B68D,56
Trans-Light Blue,AEEFEC,28231
Trans-Light Bright Green,C9E788,126
Trans-Light Green,94E5AB,36
Trans-Light Purple,96709F,71
Trans-Light Royal Blue,B4D4F7,98
Trans-Medium Blue,CFE2F7,792
Trans-Medium Purple,8D73B3,258
Trans-Neon Green,F8F184,7706
Trans-Neon Orange,FF800D,6564
Trans-Neon Red,FF0040,22
Trans-Neon Yellow,DAB000,188
Trans-Orange,F08F1C,14755
Trans-Pink,E4ADC8,441
Trans-Purple,A5A5CB,2296
Trans-Purple Opal,8320B7,112
Trans-Red,C91A09,22255
Trans-Very Lt Blue,C1DFF0,234
Trans-Yellow,F5CD2F,13916
Two-tone Copper,945148,2
Two-tone Gold,AB673A,6
Two-tone Silver,737271,6
Very Light Bluish Gray,E6E3E0,266
Very Light Gray,E6E3DA,56
Very Light Orange,F3CF9B,18
Vibrant Yellow,EBD800,1065
Vintage Blue,039CBD,24
Vintage Green,1E601E,32
Vintage Red,CA1F08,31
Vintage Yellow,F3C305,24
Violet,4354A3,178
Warm Tan,CCA373,89
Warm Yellowish Orange,FFCB78,15
White,FFFFFF,432038
Yellow,F2CD37,192594
Yellowish Green,DFEEA5,2378
