name_themes,counts
Star Wars,909
Technic,857
Keychain,689
Books,648
Friends,565
Gear,515
Ninjago,497
Basic,478
Bionicle,441
Supplemental,435
Town,418
Classic Town,410
Service Packs,357
Stationery/Office Supplies,336
Video Games/Accessories,287
Duplo/Explore,283
Houseware,268
Racers,241
City,228
Role Play Toys/Costumes,221
Creator,218
Creator 3-in-1,213
Clocks/Watches,210
Police,189
LEGO Brand Store,187
Monthly Mini Model,153
Brickheadz,152
Harry Potter,152
Storage,149
Promotional,149
Super Mario,146
Christmas,145
Basic,139
Primo,136
Duplo,131
Bulk Bricks,125
Mixels,121
Magnets,120
Educational/Dacta,118
Fire,116
Minecraft,114
Construction,111
Nexo Knights,111
Batman,110
Disney Princess,107
Seasonal,107
Fabuland,105
Soccer,104
Universal Building Set,102
Database Sets,101
Other,100
9V,100
Legends of Chima,98
Trains,97
Spider-Man,92
DOTS,92
Jurassic World,91
FIRST LEGO League,89
Classic Space,89
Belville,89
Plush Toys,87
4.5V,86
Clikits,85
Bag and Luggage Tags,84
Train,84
Avengers,84
Super Heroes Marvel,84
Legoville,77
Posters and Art Prints,77
Knights Kingdom II,76
Vehicle,75
Scala,73
Audio and Visual Media,72
Classic,70
Dimensions,68
Bricks & More,67
Pirates I,67
LEGO Ideas and CUUSOO,65
The LEGO Movie II,65
Speed Champions,65
Freestyle,64
HO 1:87 Vehicles,61
The LEGO Ninjago Movie,58
Playhouse,58
LEGO Exclusive,58
Airport,56
Cars,56
Legoland Parks,55
Traffic,54
Classic Basic,53
NXT,53
Studios,53
Exo-Force,52
12V,52
The LEGO Movie,51
Make & Create,51
Creator Expert,50
VIDIYO,50
Monkie Kid,47
Games,47
Designer Sets,47
Easter,47
Architecture,46
World City,45
The LEGO Batman Movie,44
Heroes,44
Ultimate Collector Series,43
Town Plan,42
Elves,42
Disney,41
Icons,41
Town Jr.,40
Collectible Minifigures,39
Expert Builder,39
WeDo,37
Western,36
Early Creator,36
Castle,35
Basketball,35
Hero Factory,34
Modulex,34
RCX,34
Tabletop Games and Puzzles,33
Villains,33
Building,33
Bricktober,32
Building Set with People,32
Arctic,32
Hidden Side,32
Super Heroes DC,32
Pick A Model,32
Homemaker,32
Ferrari,32
Juniors,32
Ninja,31
Fantasy Era,31
Bob the Builder,31
Speedorz,30
Halloween,30
Frozen,30
RoboRiders,29
BrickLink Designer Program,28
Jack Stone,28
Orient Expedition,28
Hospital,28
Toy Story,27
Mindstorms,27
Life On Mars,26
Coast Guard,26
Lion Knights,26
Unikitty!,26
Desert,26
Stuntz,26
Chinese Traditional Festivals,25
Harry Potter and Fantastic Beasts Series 1,25
Atlantis,24
X-Pod,24
Constraction,24
Teenage Mutant Ninja Turtles,23
Dino,23
The Hobbit,23
Indiana Jones,23
Rattles,23
The LEGO Batman Movie Series 2,23
4 Juniors,23
Power Miners,23
The LEGO Batman Movie Series 1,23
City Center,22
Disney 100,22
Boat,22
Space Port,22
Disney Series 1,21
Mars Mission,21
LEGO Originals,21
Disney Series 2,21
Master Builder Academy,21
Knights Kingdom I,21
Harbor,21
Galidor,21
Extreme Team,21
Series 10 Minifigures,20
Series 18 Minifigures,20
Disney's Mickey Mouse,20
Series 19 Minifigures,20
Series 1 Minifigures,19
Series 12 Minifigures,19
Series 14 Minifigures,19
Series 13 Minifigures,19
Minitalia,19
UFO,19
Power Functions,19
Series 11 Minifigures,19
Znap,19
Xtra,19
The Simpsons Series 2,19
Series 15 Minifigures,19
DFB Minifigures,19
The Simpsons Series 1,19
DC Super Heroes,19
Value Packs,19
McDonalds,19
Series 3 Minifigures,19
Harry Potter and Fantastic Beasts Series 2,19
Futuron,19
Insectoids,19
Series 9 Minifigures,19
Series 8 Minifigures,19
Series 7 Minifigures,19
Series 6 Minifigures,19
Series 16 Minifigures,19
Jungle,19
Series 5 Minifigures,19
Series 4 Minifigures,19
Series 2 Minifigures,19
Series 17 Minifigures,19
Dino Island,19
Series 20 Minifigures,19
Winnie the Pooh,18
Paradisa,18
Hockey,18
Cities of Wonders,18
Competition,18
Thomas & Friends,18
Modular Buildings,18
Dinosaurs,18
Throwbot Slizer,17
Ferries,17
Rock Raiders,17
The Lord of the Rings,17
Valentine,17
Kingdoms,17
Mission Deep Sea,17
Pirates of the Caribbean,17
Farm,17
Space Police III,17
Series 22 Minifigures,16
Race,16
Series 21 Minifigures,16
System,16
Series 24 Minifigures,16
The Muppets,16
Series 23 Minifigures,16
Little Robots,16
Marvel,16
Airlines,16
Looney Tunes,16
Justice League,16
Model Team,16
Fright Knights,16
LEGO Art,15
Ultra Agents,15
Pirates II,15
Guardians of the Galaxy,15
Monster Fighters,14
Skylines,14
Black Knights,14
Blacktron II,14
SpongeBob SquarePants,14
Island Xtreme Stunts,13
Agents,13
Overwatch,13
Superman,13
EV3,13
Playsets,13
Dragon Knights,13
Powered Up,13
Toolo,13
Mars Exploration,12
DC Super Hero Girls,12
Team GB,12
Divers,12
Dreamzzz,12
Galaxy Squad,12
My Town,11
Space,11
Gravity Games,11
Quatro,11
Ice Planet 2002,11
Res-Q,11
Iron Man,10
Alien Conquest,10
Off-Road,10
Scooby-Doo,10
Learning,10
Little Forest Friends,10
Pharaoh's Quest,9
Hobby Sets,9
Royal Knights,9
World Racers,9
Gears,9
Spyrius,9
Exploriens,9
Pirates III,9
Action Wheelers,9
Time Cruisers,9
M:Tron,9
Trolls: World Tour,9
Aquaraiders II,9
Avatar,9
Minions,9
DC Comics,8
Mission Deep Freeze,8
Aquanauts,8
Thanksgiving,8
The Lone Ranger,8
Space Police II,8
Discovery,8
Spiderman,8
Classic Castle,8
Vikings,8
Cargo,8
Brick Sketches,8
Mosaic,7
Blacktron I,7
Factory,7
Forestmen,7
Black Falcons,7
Jumbo Bricks,7
Jake and the Never Land Pirates,7
Control Lab,7
Hydronauts,7
Dino Attack,6
Ben 10,6
Dino 2010,6
Alpha Team,6
Advent,6
Angry Birds,6
UCS,6
Prince of Persia,6
Launch Command,6
Princess Castle,6
Dolls,6
Soft Bricks,6
Space Police I,6
Protectors,6
Gas Station,6
Outback,5
Sonic The Hedgehog,5
Speed Slammers,5
Stingrays,5
Sports,5
Pirates,5
Dora the Explorer,5
Doc McStuffins,4
Forma,4
Unitron,4
Aquasharks,4
Disney Planes,4
Inventor,4
DC Comics Super Heroes,4
Fusion,4
Speed Racer,4
RoboForce,4
Marvel Super Heroes,4
Spybotics,4
Gabbyâ€™s Dollshouse,4
Samsonite,4
Miles From Tomorrowland,3
X-Men,3
Sculptures,3
Wolfpack,3
Zooters,3
eLAB,3
Aquaraiders I,3
Jurassic World: Fallen Kingdom,3
Sofia the First,3
Stranger Things,3
Dark Forest,3
Universe,2
Williams F1,2
Avatar: The Last Airbender,2
Ghostbusters,2
The Powerpuff Girls,2
Fantastic Beasts,2
Jurassic Park III,2
Legoland,1
Aquazone,1
Mini,1
Adventurers,1
